Product code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
030110,Live ornamental fish,1,0,9,25,23,15,16,0,1,0,0,0,0,0,0,0,0,0
030111,Live ornamental freshwater fish,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3
030119,Live ornamental fish (excluding freshwater),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,16,28
030191,"Live trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030192,"Live eels ""Anguilla spp.""",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
030193,"Live carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030194,"Live Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030195,"Live southern bluefin tunas ""Thunnus maccoyii""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030199,"Live fish (excluding ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0
030211,"Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030212,"Fresh or chilled Pacific salmon Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, ...",0,11,50,4,0,5,25,0,0,0,0,0,0,0,0,0,0,0
030213,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030214,"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030219,"Fresh or chilled salmonidae (excluding trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus ...",0,20,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
