Product code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
030195,"Live southern bluefin tunas ""Thunnus maccoyii""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030213,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030214,"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030223,"Fresh or chilled sole ""Solea spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030224,"Fresh or chilled turbot ""Psetta maxima""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030236,"Fresh or chilled Southern bluefin tunas ""Thunnus maccoyii""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030241,"Fresh or chilled herring ""Clupea harengus, clupea pallasii""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030242,"Fresh or chilled anchovies ""Engraulis spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030244,"Fresh or chilled mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030245,"Fresh or chilled jack and horse mackerel ""Trachurus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030246,"Fresh or chilled cobia ""Rachycentron canadum""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030247,"Fresh or chilled swordfish ""Xiphias gladius""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030249,"Fresh or chilled Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030250,"Fresh or chilled cod (gadus morhua, gadus ogac, gadus macrocephalus)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030251,"Fresh or chilled cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030254,"Fresh or chilled hake ""Merluccius spp., Urophycis spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030255,"Fresh or chilled Alaska pollack ""Theragra chalcogramma""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030256,"Fresh or chilled blue whiting ""Micromesistius poutassou, Micromesistius australis""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030259,"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030263,Fresh or chilled coalfish (Pollachius virens),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030264,"Fresh or chilled mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030265,Fresh or chilled dogfish and other sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030267,Fresh or chilled swordfish (Xiphias gladius),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030271,"Fresh or chilled tilapia ""Oreochromis spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030272,"Fresh or chilled catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030273,"Fresh or chilled carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030274,"Fresh or chilled eels ""Anguilla spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030279,"Fresh or chilled, Nile perch ""Lates niloticus"" and snakeheads ""Channa spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030281,Fresh or chilled dogfish and other sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030282,"Fresh or chilled, rays and skates ""Rajidae""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030284,"Fresh or chilled sea bass ""Dicentrarchus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030285,"Fresh or chilled sea bream ""Sparidae""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030291,"Fresh or chilled fish livers, roes and milt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030292,Fresh or chilled shark fins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030299,"Fresh or chilled fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
