HS Code 6,Konsumsi-Non Konsumsi,Olahan-Non Olahan,Asal Bahan Baku,Komoditas,Komoditas 1,Komoditas 2,Group_Commodities,Commodities,Sebaran Habitat,Bentuk,Form,Uraian 2017
208401,K,N,Perikanan Tangkap,Mamalia Laut,Lainnya,Lainnya,Other Fish,Sea Mammals,Tropis,"Segar, Dingin Atau Beku","Fresh, Chilled Or Frozen","Daging dan sisanya yang dapat dimakan dari paus, lumba-lumba dan porpoise (binatang menyusui dari ordo Cetacea); dari manate dan dugong (binatang menyusui dari ordo Sirenia) segar, dingin atau beku/Other meat and edible meat offal of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia), fresh, chilled or frozen"
208409,K,N,Perikanan Tangkap,Mamalia Laut,Lainnya,Lainnya,Other Fish,Sea Mammals,Tropis,"Segar, Dingin Atau Beku","Fresh, Chilled Or Frozen","Daging dan bagian daging lainnya yang dapat dimakan dari anjing laut, singa laut dan beruang laut (mamalia dari sub ordo Pinnipedia) segar, dingin atau beku/Other meat and edible meat offal of seals, sea lions and walruses (mammals of the suborder Pinnipedia), fresh, chilled or frozen."
208500,K,N,Perikanan Tangkap,Binatang Melata,Lainnya,Lainnya,Other Fish,Reptiles,Tropis,"Segar, Dingin Atau Beku","Fresh, Chilled Or Frozen","Daging dan bagian daging lainnya yang dapat dimakan dari binatang melata (termasuk ular dan penyu) segar, dingin atau beku/Other meat and edible meat offal of reptile (including snakes and turtles), fresh, chilled or frozen."
210921,K,O,Perikanan Tangkap,Mamalia Laut,Lainnya,Lainnya,Other Fish,Sea Mammals,Tropis,"Diasinkan Atau Dalam Air Garam, Dikeringkan, Diasapi","Salted Or In Brine, Dried, Smoked","Daging dan sisanya yang dapat dimakan dari paus, lumba-lumba dan porpoise (binatang menyusui dari ordo Cetacea); dari manate dan dugong (binatang menyusui dari ordo Sirenia) diasinkan atau dalam air garam, dikeringkan atau diasapi; termasuk tepung dan tepung kasar dari daging dan sisanya yang dapat dimakan/Other meat and edible meat offal of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia), salted or in brine, dried or smoked, including edible flours and meals of meat or meat offal"
210929,K,O,Perikanan Tangkap,Mamalia Laut,Lainnya,Lainnya,Other Fish,Sea Mammals,Tropis,"Diasinkan Atau Dalam Air Garam, Dikeringkan, Diasapi","Salted Or In Brine, Dried, Smoked","Daging dan bagian lainnya yang dapat dimakan dari anjing laut, singa laut dan beruang laut (mamalia dari sub ordo Pinnipedia) diasinkan, dalam air garam, dikeringkan atau diasapi; termasuk tepung dan tepung kasar dari daging dan sisanya yang dapat dimakan/Other meat and edible meat offal of seals, sea lions and walruses (mammals of the suborder Pinnipedia), salted, in brine, dried or smoked, including edible flours and meals of meat or meat offal"
210930,K,O,Perikanan Tangkap,Binatang Melata,Lainnya,Lainnya,Other Fish,Reptiles,Tropis,"Diasinkan Atau Dalam Air Garam, Dikeringkan, Diasapi","Salted Or In Brine, Dried, Smoked","Daging dan bagian lainnya yang dapat dimakan dari binatang melata (termasuk ular dan penyu) diasinkan, dalam air garam, dikeringkan atau diasapi; termasuk tepung dan tepung kasar dari daging dan sisanya yang dapat dimakan/Other meat and edible meat offal reptiles (including snakes and turtles), salted, in brine, dried or smoked, including edible flours and meals of meat or meat offal"
030219,K,N,Perikanan Tangkap,Ikan Salem,Lainnya,Lainnya,Other Fish,Salmonidae Fish,Sub Tropis,Segar Atau Dingin,Fresh Or Chilled,"Ikan Salem lainnya, segar atau dingin/Other salmonidae fish,  fresh or chilled"
030221,K,N,Perikanan Tangkap,Halibut,Lainnya,Lainnya,Other Fish,Halibut,Sub Tropis,Segar Atau Dingin,Fresh Or Chilled,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglosus, Hippoglossus stenolepis) segar atau dingin/Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglosus, Hippoglossus stenolepis) fresh or chilled"
030222,K,N,Perikanan Tangkap,Plaice,Lainnya,Lainnya,Other Fish,Plaice,Sub Tropis,Segar Atau Dingin,Fresh Or Chilled,"Plaice (Pleuronectes platessa), segar atau dingin/Plaice (Pleuronectes platessa), fresh or chilled"
030223,K,N,Perikanan Tangkap,Sole,Lainnya,Lainnya,Other Fish,Sole,Tropis,Segar Atau Dingin,Fresh Or Chilled,Sole (Solea spp.) segar atau dingin/Sole (Solea spp.) fresh or chilled
030224,K,N,Perikanan Tangkap,Turbot,Lainnya,Lainnya,Other Fish,Turbots,Sub Tropis,Segar Atau Dingin,Fresh Or Chilled,"Turbots (Psetta maxima), segar atau dingin/Turbots (Psetta maxima), fresh or chilled"
030229,K,N,Perikanan Tangkap,Ikan Pipih Lainnya,Lainnya,Lainnya,Other Fish,Other Flat Fish,Sub Tropis,Segar Atau Dingin,Fresh Or Chilled,"Ikan pipih lainnya segar atau dingin/Other flat fish, fresh or chilled"
030241,K,N,Perikanan Tangkap,Herring,Lainnya,Lainnya,Other Fish,Herring,Sub Tropis,Segar Atau Dingin,Fresh Or Chilled,"Herring (Clupea harengus, Clupea pallasii) segar atau dingin/Herring (Clupea harengus, Clupea pallasii) fresh or chilled"
030249,K,N,Perikanan Tangkap,Ikan Lainnya,Lainnya,Lainnya,Other Fish,Other Fish,Tropis,Segar Atau Dingin,Fresh Or Chilled,"Ikan lainnya segar atau dingin, tidak termasuk sisa ikan yang dapat dimakan dari subpos 0302.91 sampai dengan 0302.99"
030252,K,N,Perikanan Tangkap,Haddock,Lainnya,Lainnya,Other Fish,Haddock,Sub Tropis,Segar Atau Dingin,Fresh Or Chilled,Haddock (Melanogrammus aeglefinus) segar atau dingin/Haddock (Melanogrammus aeglefinus) fresh or chilled
030253,K,N,Perikanan Tangkap,Coalfish,Lainnya,Lainnya,Other Fish,Coalfish,Sub Tropis,Segar Atau Dingin,Fresh Or Chilled,Coalfish (Pollachius virens) segar atau dingin/Coalfish (Pollachius virens)fresh or chilled
030254,K,N,Perikanan Tangkap,Hake,Lainnya,Lainnya,Other Fish,Hake,Sub Tropis,Segar Atau Dingin,Fresh Or Chilled,"Hake (Merluccius spp., Urophycis spp.) segar atau dingin/Hake (Merluccius spp., Urophycis spp.), fresh or chilled"
