Code,Categories,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
030617,Fish,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",0,0,0,0,0,0,0,0,0,0,0,3311513,4133623,5386569,4269370,4565437,5182841,4844219
030441,Fish,"Fresh or chilled fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...",0,0,0,0,0,0,0,0,0,0,0,786545,1205504,1452438,1319028,1622955,1775309,2038917
160521,Fish,"Shrimps and prawns, prepared or preserved, not in airtight containers (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,955679,1052792,1318650,1183763,1195675,1412176,1427720
030214,Fish,"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",0,0,0,0,0,0,0,0,0,0,0,602471,688809,677583,752784,935852,1075224,1168389
030481,Fish,"Frozen fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...",0,0,0,0,0,0,0,0,0,0,0,539832,637269,801386,685729,664707,911226,944868
030489,Fish,"Frozen fish fillets, n.e.s.",0,0,0,0,0,0,0,0,0,0,0,611938,421824,487282,527968,525498,576898,581567
030487,Fish,"Frozen fillets of tuna ""of the genus Thunnus"", skipjack or stripe-bellied bonito ""Euthynnus ...",0,0,0,0,0,0,0,0,0,0,0,292458,218614,231629,302334,331646,350623,399809
030471,Fish,"Frozen fillets of cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""",0,0,0,0,0,0,0,0,0,0,0,262533,267008,314667,342119,358408,402916,441856
030461,Fish,"Frozen fillets of tilapia ""Oreochromis spp.""",0,0,0,0,0,0,0,0,0,0,0,776889,796053,869457,743843,548695,480415,486386
030632,Fish,"Lobsters ""Homarus spp."", whether in shell or not, live, fresh or chilled",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400743,403593
030462,Fish,"Frozen fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",0,0,0,0,0,0,0,0,0,0,0,366548,360128,363095,373917,424889,397323,568563
030289,Fish,"Fresh or chilled fish, n.e.s.",0,0,0,0,0,0,0,0,0,0,0,236807,238098,249410,276451,307275,320009,325702
030389,Fish,"Frozen fish, n.e.s.",0,0,0,0,0,0,0,0,0,0,0,254744,259919,263120,250624,260807,249627,286539
030743,Fish,"Cuttle fish and squid, frozen, with or without shell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196669,225617
030383,Fish,"Frozen toothfish ""Dissostichus spp.""",0,0,0,0,0,0,0,0,0,0,0,89200,89859,86274,122683,125313,128789,139466
030431,Fish,"Fresh or chilled fillets of tilapia ""Oreochromis spp.""",0,0,0,0,0,0,0,0,0,0,0,167741,223893,218376,210225,180517,174413,168136
030752,Fish,"Octopus ""Octopus spp."", frozen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80297,118587
030449,Fish,"Fresh or chilled fillets of fish, n.e.s.",0,0,0,0,0,0,0,0,0,0,0,84134,97412,99785,107987,105375,101709,93699
030722,Fish,"Scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, frozen, even ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142903,142308
030442,Fish,"Fresh or chilled fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, ...",0,0,0,0,0,0,0,0,0,0,0,39802,47266,56674,55336,55631,72879,110057
030444,Fish,"Fresh or chilled fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, ...",0,0,0,0,0,0,0,0,0,0,0,54295,71857,75204,77657,89216,88947,106153
160529,Fish,"Shrimps and prawns, prepared or preserved, in airtight containers (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,29826,123661,119534,121655,73468,104438,119802
030472,Fish,"Frozen fillets of haddock ""Melanogrammus aeglefinus""",0,0,0,0,0,0,0,0,0,0,0,120216,121661,130164,92801,90540,100947,129629
030475,Fish,"Frozen fillets of Alaska pollack ""Theragra chalcogramma""",0,0,0,0,0,0,0,0,0,0,0,138018,148612,136244,124864,65575,48438,52552
030483,Fish,"Frozen fillets of flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae ...",0,0,0,0,0,0,0,0,0,0,0,122513,126101,117390,126022,118216,122202,157290
030284,Fish,"Fresh or chilled sea bass ""Dicentrarchus spp.""",0,0,0,0,0,0,0,0,0,0,0,29909,45229,52014,46382,55628,64251,73300
160417,Fish,"Prepared or preserved eels, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,0,0,0,0,36433,26464,31406,59786,57041,52255,80842
030323,Fish,"Frozen tilapia ""Oreochromis spp.""",0,0,0,0,0,0,0,0,0,0,0,30420,50504,60079,67386,61617,52692,60669
030247,Fish,"Fresh or chilled swordfish ""Xiphias gladius""",0,0,0,0,0,0,0,0,0,0,0,53227,60473,69902,72947,75981,64351,68329
030213,Fish,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, ...",0,0,0,0,0,0,0,0,0,0,0,30370,44259,85465,47047,56828,54168,75761
160554,Fish,"Cuttlefish and squid, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,37100,31635,38167,45678,44830,63534,64121
030532,Fish,"Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, ...",0,0,0,0,0,0,0,0,0,0,0,33503,40132,36790,39647,36405,48254,52863
030111,Fish,Live ornamental freshwater fish,0,0,0,0,0,0,0,0,0,0,0,48748,50391,45420,44070,47276,48222,54753
030633,Fish,"Crabs, whether in shell or not, live, fresh or chilled",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16486,18572
030732,Fish,"Mussels ""Mytilus spp., Perna spp."", frozen, even in shell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36594,34494
030479,Fish,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, ...",0,0,0,0,0,0,0,0,0,0,0,84702,58219,51731,42623,88562,84217,81009
030459,Fish,"Fresh or chilled fish meat, whether or not minced (excluding all fillets, tilapias, catfish, ...",0,0,0,0,0,0,0,0,0,0,0,119724,71048,71138,57678,50349,75725,64161
160556,Fish,"Clams, cockles and arkshells, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,41421,44329,47797,45702,45296,45141,49733
030485,Fish,"Frozen fillets of toothfish ""Dissostichus spp.""",0,0,0,0,0,0,0,0,0,0,0,40789,35226,54304,34860,43363,40346,39935
030453,Fish,"Fresh or chilled meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, ...",0,0,0,0,0,0,0,0,0,0,0,13106,9643,9040,23309,47553,67009,49611
030711,Fish,"Oysters, even in shell, live, fresh or chilled",0,0,0,0,0,0,0,0,0,0,0,19192,22628,25069,26433,28814,33402,31145
160555,Fish,"Octopus, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,21458,25029,25385,25248,26640,29196,37076
160551,Fish,"Oysters, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,30159,32539,27758,33894,34390,35616,45070
030354,Fish,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""",0,0,0,0,0,0,0,0,0,0,0,19967,19766,18142,16998,19140,22750,22542
